
2024/10/24 (21:53:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/25 (17:02:38) | ===> btop++ v.1.4.0
2024/10/25 (17:02:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/25 (17:02:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/25 (17:02:56) | ===> btop++ v.1.4.0
2024/10/25 (17:02:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/25 (17:02:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/26 (22:31:23) | ===> btop++ v.1.4.0
2024/10/26 (22:31:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/26 (22:31:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (17:35:41) | ===> btop++ v.1.4.0
2024/10/27 (17:35:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (17:35:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (17:36:21) | ===> btop++ v.1.4.0
2024/10/27 (17:36:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (17:36:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (18:10:46) | ===> btop++ v.1.4.0
2024/10/27 (18:10:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (18:10:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (18:10:49) | ===> btop++ v.1.4.0
2024/10/27 (18:10:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (18:10:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (18:16:25) | ===> btop++ v.1.4.0
2024/10/27 (18:16:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (18:16:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (18:18:26) | ===> btop++ v.1.4.0
2024/10/27 (18:18:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (18:18:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (18:18:39) | ===> btop++ v.1.4.0
2024/10/27 (18:18:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (18:18:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (18:18:47) | ===> btop++ v.1.4.0
2024/10/27 (18:18:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (18:18:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (18:18:59) | ===> btop++ v.1.4.0
2024/10/27 (18:18:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (18:18:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (18:19:11) | ===> btop++ v.1.4.0
2024/10/27 (18:19:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (18:19:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (18:19:27) | ===> btop++ v.1.4.0
2024/10/27 (18:19:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (18:19:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (18:19:37) | ===> btop++ v.1.4.0
